model,accuracy,macro_f1,weighted_f1
Multinomial Naive Bayes,0.767,0.7452402680844116,0.7445300022511674
Logistic Regression,0.845,0.8574114668663153,0.8462064226017918
Linear SVM,0.871,0.8882269824755156,0.871860672493459
